method_name,utilization,schedulability_ratio
RTA_SS_tol_fb_early,0.7,0.9
RTA_SS_tol_fb_early,0.75,0.77
RTA_SS_tol_fb_early,0.8,0.54
RTA_SS_tol_fb_early,0.85,0.3
RTA_SS_tol_fb_early,0.9,0.17
RTA_UNI_tol_fb,0.7,1.0
RTA_UNI_tol_fb,0.75,1.0
RTA_UNI_tol_fb,0.8,0.98
RTA_UNI_tol_fb,0.85,0.7
RTA_UNI_tol_fb,0.9,0.32
RTA_UNI_opt,0.7,1.0
RTA_UNI_opt,0.75,0.99
RTA_UNI_opt,0.8,0.9
RTA_UNI_opt,0.85,0.56
RTA_UNI_opt,0.9,0.21
RTA_UNI_heu,0.7,1.0
RTA_UNI_heu,0.75,0.99
RTA_UNI_heu,0.8,0.9
RTA_UNI_heu,0.85,0.56
RTA_UNI_heu,0.9,0.2
RTA_SS_heu,0.7,0.77
RTA_SS_heu,0.75,0.49
RTA_SS_heu,0.8,0.24
RTA_SS_heu,0.85,0.05
RTA_SS_heu,0.9,0.0
RTA_SS_opt,0.7,0.74
RTA_SS_opt,0.75,0.49
RTA_SS_opt,0.8,0.23
RTA_SS_opt,0.85,0.05
RTA_SS_opt,0.9,0.0
